Product_Code,Product_Name,Catagory,ALK_Qty,CHCH_Qty,WLG_Qty,Product_Price
AT1001,Paua Shell Pendant Necklace,Jewelry,12,8,15,24.99
AT1002,Hand-Carved Bone Fish Hook,Jewelry,6,10,7,29.99
AT1003,Wool Kiwi Plush Toy,Toys,25,20,30,14.95
AT1004,Handwoven Flax Basket,Homeware,4,6,2,34.5
AT1005,Manuka Honey 250g,Food & Wellness,18,15,22,16.99
AT1006,Greenstone Hei Tiki Pendant,Jewelry,3,2,5,59.99
AT1007,Wooden Koru Sculpture,Home Decor,9,12,11,44.0
AT1008,Maori Pattern Tea Towel,Kitchenware,14,10,16,9.95
AT1009,Recycled Rimu Coasters (Set 4),Homeware,7,5,8,19.9
AT1010,Kiwi Bird Keyring,Souvenirs,40,35,50,7.5
AT1011,Aotearoa Fridge Magnet,Souvenirs,30,25,28,6.0
AT1012,New Zealand Landscape Calendar,Stationery,20,18,24,13.99
AT1013,Handcrafted Clay Mug,Kitchenware,6,8,5,22.0
AT1014,Merino Wool Gloves,Apparel,10,12,9,34.95
AT1015,Leather Kiwi Bookmark,Stationery,15,14,17,8.99
AT1016,Local Artisan Soap (Kawakawa),Wellness,11,13,10,12.5
AT1017,Paua Shell Earrings,Jewelry,8,5,9,19.99
AT1018,Maori Design Playing Cards,Souvenirs,19,22,20,11.95
AT1019,NZ Map Puzzle (Wooden),Toys,5,7,6,27.5
AT1020,Whittaker�s Chocolate Gift Box,Food & Wellness,21,19,25,17.9
AT1021,Mini Greenstone Tiki Magnet,Souvenirs,18,15,20,14.5
AT1022,Maori Legend Children�s Book,Books,12,10,14,18.99
AT1023,Carved Wooden Manaia Pendant,Jewelry,4,3,4,39.95
AT1024,NZ Native Bird Notebook,Stationery,16,11,13,10.0
AT1025,Reusable Koru Design Tote Bag,Apparel/Utility,9,8,10,15.95
AT1026,Glow-in-Dark Kiwi T-Shirt,Apparel,13,14,15,29.99
AT1027,NZ Fern Enamel Pin,Accessories,22,20,19,7.0
AT1028,Maori Waka Model (Mini),Collectibles,2,3,2,49.99
AT1029,Kiwi Feather Ballpoint Pen,Stationery,17,18,16,5.95
AT1030,Manuka Lip Balm,Wellness,23,20,21,6.5
AT1031,Ceramic Kiwi Figurine,Home Decor,5,6,7,24.9
AT1032,NZ Flora Greeting Cards (Set),Stationery,14,12,15,11.5
AT1033,Tane Mahuta Wood Carving,Art & Decor,3,4,3,89.0
AT1034,Kiwi Adventure Puzzle Book,Books,11,10,12,16.75
AT1035,M?ori Poi Set (Small),Toys,6,7,8,12.95
AT1036,Thermal Rotorua Mud Mask,Wellness,10,11,13,14.95
AT1037,Carved Pounamu Earrings,Jewelry,2,1,3,64.99
AT1038,NZ Iconic Road Sign Coaster,Homeware,18,17,20,9.9
AT1039,Aroha Lettering Wall Art,Home Decor,5,4,6,27.95
AT1040,Native Timber Pen Holder,Homeware,4,3,5,21.5
AT1041,Soy Wax Candle 300g,Home Decor,,2,,13.99
AT1042,Wax Melts 4pk,Home Decor,,12,,2.99
